obra_id,semana_indice,semana_numero,fecha_corte,fase_estudio,origen_datos,compromiso_id,tarea_uid,descripcion,zona,proveedor_cod,cumplimiento,causa_cod,causa_etiqueta,causa_grupo,cantidad_plan,cantidad_ejec,unidad,dias_cierre
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59lh0002xgpbxhw90aqu,,Actividad 1 de la semana 1,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59ll0003xgpbufac58bv,,Actividad 2 de la semana 1,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59ln0004xgpbb9yd6lve,,Actividad 3 de la semana 1,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59lq0005xgpb41ko6bht,,Actividad 4 de la semana 1,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59ls0006xgpbkir1432w,,Actividad 5 de la semana 1,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59lv0007xgpbo3zqwfdg,,Actividad 6 de la semana 1,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59lx0008xgpbb2psgiqm,,Actividad 7 de la semana 1,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59m00009xgpbusjkkahk,,Actividad 8 de la semana 1,Piso 2,,0,2,MATERIALES,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59m3000axgpbtajkoyuh,,Actividad 9 de la semana 1,Piso 1,,0,3,MANO_OBRA,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59m7000bxgpbcjluadyz,,Actividad 10 de la semana 1,Piso 2,,0,1,PRERREQUISITO,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59mc000cxgpbzpwafafi,,Actividad 11 de la semana 1,Piso 1,,0,5,INFORMACION,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,1,1,2026-01-09,PRE,RECONSTRUIDO,cmtck59mg000dxgpbpn4162zc,,Actividad 12 de la semana 1,Piso 2,,0,4,EQUIPOS,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59ml000fxgpb83ror1yu,,Actividad 1 de la semana 2,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59mo000gxgpbyj4gmxyq,,Actividad 2 de la semana 2,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59mq000hxgpbqbr1kln9,,Actividad 3 de la semana 2,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59ms000ixgpbbum8cx68,,Actividad 4 de la semana 2,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59mv000jxgpbdg6chvw0,,Actividad 5 de la semana 2,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59my000kxgpb16c0h6vh,,Actividad 6 de la semana 2,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59n1000lxgpbvlcjo1vl,,Actividad 7 de la semana 2,Piso 1,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59n4000mxgpb10ah1445,,Actividad 8 de la semana 2,Piso 2,,1,,,,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59n7000nxgpb8eyn2n8m,,Actividad 9 de la semana 2,Piso 1,,0,1,PRERREQUISITO,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59n9000oxgpbf3c62q14,,Actividad 10 de la semana 2,Piso 2,,0,5,INFORMACION,EVITABLE,,,,0
cmtck59kx0000xgpbxk8eymvl,2,2,2026-01-16,PRE,RECONSTRUIDO,cmtck59nc000pxgpbhfbyo0e1,,Actividad 11 de la semana 2,Piso 1,,0,4,EQUIPOS,EVITABLE,,,,0
